Gene stable ID version,Rat gene stable ID,Mouse gene stable ID
ENSG00000023516.9,ENSRNOG00000009987,ENSMUSG00000022016
ENSG00000204899.6,ENSRNOG00000068487,ENSMUSG00000033186
ENSG00000120685.20,ENSRNOG00000010980,ENSMUSG00000049504
ENSG00000083535.16,ENSRNOG00000009208,ENSMUSG00000022064
ENSG00000176105.14,ENSRNOG00000037227,ENSMUSG00000014932
ENSG00000136122.18,ENSRNOG00000024798,ENSMUSG00000022070
ENSG00000197705.10,ENSRNOG00000015418,ENSMUSG00000042514
ENSG00000150361.12,ENSRNOG00000031100,ENSMUSG00000022076
ENSG00000122034.17,ENSRNOG00000050016,ENSMUSG00000016503
ENSG00000178127.13,ENSRNOG00000042503,ENSMUSG00000024099
ENSG00000120690.16,ENSRNOG00000011762,ENSMUSG00000036461
ENSG00000154889.17,ENSRNOG00000018648,ENSMUSG00000062526
ENSG00000136155.17,ENSRNOG00000024237,ENSMUSG00000022123
ENSG00000150893.11,ENSRNOG00000021670,ENSMUSG00000037016
ENSG00000136111.14,ENSRNOG00000009431,ENSMUSG00000033083
ENSG00000101489.20,ENSRNOG00000014503,ENSMUSG00000024268
ENSG00000136158.12,ENSRNOG00000010058,ENSMUSG00000022114
ENSG00000174015.10,ENSRNOG00000047413,ENSMUSG00000034913
ENSG00000134882.16,ENSRNOG00000012710,ENSMUSG00000041765
ENSG00000133119.13,ENSRNOG00000001088,ENSMUSG00000033970
ENSG00000231824.4,ENSRNOG00000063808,ENSMUSG00000091636
ENSG00000132874.15,ENSRNOG00000061714,ENSMUSG00000024552
ENSG00000152192.8,ENSRNOG00000060662,ENSMUSG00000048349
ENSG00000182957.16,ENSRNOG00000013707,ENSMUSG00000021990
ENSG00000141380.14,ENSRNOG00000016800,ENSMUSG00000037013
ENSG00000159261.12,ENSRNOG00000001691,ENSMUSG00000047109
ENSG00000241837.7,ENSRNOG00000001991,ENSMUSG00000022956
ENSG00000188811.14,ENSRNOG00000070230,ENSMUSG00000042997
ENSG00000154645.14,ENSRNOG00000001915,ENSMUSG00000022860
ENSG00000102837.7,ENSRNOG00000013280,ENSMUSG00000022026
ENSG00000065150.21,ENSRNOG00000010989,ENSMUSG00000030662
ENSG00000160307.10,ENSRNOG00000001295,ENSMUSG00000033208
ENSG00000156273.16,ENSRNOG00000001582,ENSMUSG00000025612
ENSG00000157557.13,ENSRNOG00000001647,ENSMUSG00000022895
ENSG00000101745.17,ENSRNOG00000012733,ENSMUSG00000034647
ENSG00000152242.11,ENSRNOG00000017215,ENSMUSG00000047466
ENSG00000157551.19,ENSRNOG00000062944,ENSMUSG00000062609
ENSG00000154839.10,ENSRNOG00000015275,ENSMUSG00000036223
ENSG00000139734.19,ENSRNOG00000008986,ENSMUSG00000022021
ENSG00000141425.18,ENSRNOG00000016036,ENSMUSG00000040446
ENSG00000205758.12,ENSRNOG00000028014,ENSMUSG00000058240
ENSG00000152214.14,ENSRNOG00000017568,ENSMUSG00000057455
ENSG00000134489.7,ENSRNOG00000016887,ENSMUSG00000037346
ENSG00000156239.12,ENSRNOG00000001603,ENSMUSG00000044442
ENSG00000154736.6,ENSRNOG00000057794,ENSMUSG00000022894
ENSG00000198445.4,ENSRNOG00000047114,ENSMUSG00000038044
ENSG00000223078.1,ENSRNOG00000065170,ENSMUSG00000089183
ENSG00000283904.1,ENSRNOG00000050840,ENSMUSG00000065397
ENSG00000157617.17,ENSRNOG00000001621,ENSMUSG00000045975
ENSG00000168234.13,ENSRNOG00000050949,ENSMUSG00000024424
ENSG00000118946.12,ENSRNOG00000008970,ENSMUSG00000035566
ENSG00000141639.12,ENSRNOG00000015401,ENSMUSG00000024558
ENSG00000173276.14,ENSRNOG00000001623,ENSMUSG00000046962
ENSG00000120688.9,ENSRNOG00000011678,ENSMUSG00000022023
ENSG00000141622.14,ENSRNOG00000048824,ENSMUSG00000025427
ENSG00000099917.17,ENSRNOG00000001877,ENSMUSG00000012114
ENSG00000180440.4,ENSRNOG00000014046,ENSMUSG00000056306
ENSG00000139514.13,ENSRNOG00000000924,ENSMUSG00000041313
ENSG00000177511.6,ENSRNOG00000018305,ENSMUSG00000056812
ENSG00000176641.11,ENSRNOG00000014859,ENSMUSG00000047496
ENSG00000159231.6,ENSRNOG00000001701,ENSMUSG00000022947
ENSG00000166510.14,ENSRNOG00000021381,ENSMUSG00000038903
ENSG00000088386.17,ENSRNOG00000011598,ENSMUSG00000025557
ENSG00000159216.19,ENSRNOG00000001704,ENSMUSG00000022952
ENSG00000175387.16,ENSRNOG00000018140,ENSMUSG00000024563
ENSG00000166979.13,ENSRNOG00000002072,ENSMUSG00000039903
ENSG00000150907.10,ENSRNOG00000013397,ENSMUSG00000044167
ENSG00000159079.19,ENSRNOG00000021399,ENSMUSG00000022972
ENSG00000041353.10,ENSRNOG00000012176,ENSMUSG00000024511
ENSG00000136152.15,ENSRNOG00000000155,ENSMUSG00000034893
ENSG00000091164.13,ENSRNOG00000018818,ENSMUSG00000024583
ENSG00000136141.15,ENSRNOG00000009412,ENSMUSG00000068015
ENSG00000134030.14,ENSRNOG00000018342,ENSMUSG00000052928
ENSG00000099985.4,ENSRNOG00000024390,ENSMUSG00000058755
ENSG00000154640.15,ENSRNOG00000001555,ENSMUSG00000022863
ENSG00000185721.13,ENSRNOG00000018590,ENSMUSG00000020457
ENSG00000102543.14,ENSRNOG00000012209,ENSMUSG00000021982
ENSG00000141441.16,ENSRNOG00000062552,ENSMUSG00000042680
ENSG00000083520.15,ENSRNOG00000009125,ENSMUSG00000033166
ENSG00000154719.14,ENSRNOG00000047563,ENSMUSG00000022889
ENSG00000184828.10,ENSRNOG00000047924,ENSMUSG00000044646
ENSG00000176635.18,ENSRNOG00000037865,ENSMUSG00000020419
ENSG00000155307.19,ENSRNOG00000030930,ENSMUSG00000022876
ENSG00000100365.16,ENSRNOG00000006940,ENSMUSG00000071715
ENSG00000205670.12,ENSRNOG00000039877,ENSMUSG00000051989
ENSG00000141665.13,ENSRNOG00000038225,ENSMUSG00000034391
ENSG00000159263.16,ENSRNOG00000054203,ENSMUSG00000062713
ENSG00000133103.17,ENSRNOG00000013660,ENSMUSG00000027742
ENSG00000183145.9,ENSRNOG00000001684,ENSMUSG00000022941
ENSG00000198089.16,ENSRNOG00000018412,ENSMUSG00000023764
ENSG00000160208.13,ENSRNOG00000001194,ENSMUSG00000058392
ENSG00000081138.14,ENSRNOG00000032490,ENSMUSG00000026312
ENSG00000102802.10,ENSRNOG00000000906,ENSMUSG00000029659
ENSG00000134871.19,ENSRNOG00000023972,ENSMUSG00000031503
ENSG00000160214.13,ENSRNOG00000001203,ENSMUSG00000061032
ENSG00000166603.5,ENSRNOG00000018692,ENSMUSG00000047259
ENSG00000184564.11,ENSRNOG00000022337,ENSMUSG00000045871
ENSG00000166479.10,ENSRNOG00000045740,ENSMUSG00000024614
ENSG00000184226.15,ENSRNOG00000038068,ENSMUSG00000055421
ENSG00000160216.21,ENSRNOG00000001205,ENSMUSG00000001211
ENSG00000100346.18,ENSRNOG00000060407,ENSMUSG00000022416
ENSG00000101542.10,ENSRNOG00000014556,ENSMUSG00000050840
ENSG00000160218.13,ENSRNOG00000023210,ENSMUSG00000000374
ENSG00000175354.20,ENSRNOG00000017453,ENSMUSG00000024539
ENSG00000132950.19,ENSRNOG00000029220,ENSMUSG00000040123
ENSG00000241945.8,ENSRNOG00000001210,ENSMUSG00000032834
ENSG00000182968.5,ENSRNOG00000064976,ENSMUSG00000096014
ENSG00000175664.10,ENSRNOG00000000905,ENSMUSG00000029660
ENSG00000041515.16,ENSRNOG00000016483,ENSMUSG00000039057
ENSG00000157540.22,ENSRNOG00000001662,ENSMUSG00000022897
ENSG00000081913.14,ENSRNOG00000002821,ENSMUSG00000044340
ENSG00000100354.21,ENSRNOG00000024907,ENSMUSG00000047888
ENSG00000071991.9,ENSRNOG00000029841,ENSMUSG00000047216
ENSG00000187498.16,ENSRNOG00000016281,ENSMUSG00000031502
ENSG00000175329.13,ENSRNOG00000039808,ENSMUSG00000031621
ENSG00000100294.13,ENSRNOG00000010539,ENSMUSG00000048755
ENSG00000141428.17,ENSRNOG00000015546,ENSMUSG00000024273
ENSG00000128342.5,ENSRNOG00000007002,ENSMUSG00000034394
ENSG00000141956.14,ENSRNOG00000001620,ENSMUSG00000014039
ENSG00000100307.13,ENSRNOG00000016875,ENSMUSG00000053411
ENSG00000171873.8,ENSRNOG00000021256,ENSMUSG00000027335
ENSG00000101282.9,ENSRNOG00000009662,ENSMUSG00000032852
ENSG00000134504.14,ENSRNOG00000016467,ENSMUSG00000036225
ENSG00000125903.4,ENSRNOG00000023477,ENSMUSG00000074681
ENSG00000100344.11,ENSRNOG00000022268,ENSMUSG00000041653
ENSG00000101280.8,ENSRNOG00000005008,ENSMUSG00000027460
ENSG00000186976.15,ENSRNOG00000011094,ENSMUSG00000022441
ENSG00000141424.13,ENSRNOG00000028703,ENSMUSG00000024270
ENSG00000171984.15,ENSRNOG00000021268,ENSMUSG00000044991
ENSG00000198081.11,ENSRNOG00000016719,ENSMUSG00000049672
ENSG00000149346.15,ENSRNOG00000007430,ENSMUSG00000027281
ENSG00000185950.9,ENSRNOG00000023509,ENSMUSG00000038894
ENSG00000178591.7,ENSRNOG00000053114,ENSMUSG00000074680
ENSG00000153498.12,ENSRNOG00000054006,ENSMUSG00000010435
ENSG00000125820.6,ENSRNOG00000012728,ENSMUSG00000027434
ENSG00000166573.6,ENSRNOG00000016654,ENSMUSG00000024553
ENSG00000125845.7,ENSRNOG00000071010,ENSMUSG00000027358
ENSG00000101327.9,ENSRNOG00000026036,ENSMUSG00000027400
ENSG00000054611.14,ENSRNOG00000017057,ENSMUSG00000051864
ENSG00000198795.11,ENSRNOG00000016874,ENSMUSG00000024420
ENSG00000133115.12,ENSRNOG00000011006,ENSMUSG00000027744
ENSG00000125898.13,ENSRNOG00000050946,ENSMUSG00000027459
ENSG00000088448.14,ENSRNOG00000064616,ENSMUSG00000031508
ENSG00000173404.5,ENSRNOG00000068937,ENSMUSG00000068154
ENSG00000185982.7,ENSRNOG00000023384,ENSMUSG00000049560
ENSG00000154059.11,ENSRNOG00000045844,ENSMUSG00000024423
ENSG00000204442.4,ENSRNOG00000066120,ENSMUSG00000079157
ENSG00000184497.13,ENSRNOG00000026336,ENSMUSG00000038457
ENSG00000132640.15,ENSRNOG00000008088,ENSMUSG00000062098
ENSG00000141668.10,ENSRNOG00000013654,ENSMUSG00000024647
ENSG00000160199.15,ENSRNOG00000001184,ENSMUSG00000006705
ENSG00000175198.17,ENSRNOG00000057042,ENSMUSG00000041650
ENSG00000160200.18,ENSRNOG00000029528,ENSMUSG00000024039
ENSG00000125816.5,ENSRNOG00000012647,ENSMUSG00000054160
ENSG00000100426.7,ENSRNOG00000004588,ENSMUSG00000034333
ENSG00000100316.16,ENSRNOG00000016896,ENSMUSG00000060036
ENSG00000126216.15,ENSRNOG00000017085,ENSMUSG00000000759
ENSG00000125851.10,ENSRNOG00000005438,ENSMUSG00000027419
ENSG00000197971.16,ENSRNOG00000016516,ENSMUSG00000041607
ENSG00000125815.9,ENSRNOG00000004989,ENSMUSG00000027442
ENSG00000075218.19,ENSRNOG00000016148,ENSMUSG00000022385
ENSG00000101230.6,ENSRNOG00000063262,ENSMUSG00000074766
ENSG00000160201.12,ENSRNOG00000045860,ENSMUSG00000061613
ENSG00000101463.6,ENSRNOG00000031536,ENSMUSG00000074736
ENSG00000184708.18,ENSRNOG00000018475,ENSMUSG00000020454
ENSG00000185974.7,ENSRNOG00000018430,ENSMUSG00000031450
ENSG00000088930.8,ENSRNOG00000011785,ENSMUSG00000027433
ENSG00000152193.8,ENSRNOG00000009690,ENSMUSG00000022120
ENSG00000185917.14,ENSRNOG00000001699,ENSMUSG00000022948
ENSG00000125870.11,ENSRNOG00000004967,ENSMUSG00000008333
ENSG00000122025.15,ENSRNOG00000054764,ENSMUSG00000042817
ENSG00000101493.11,ENSRNOG00000016258,ENSMUSG00000058881
ENSG00000077984.6,ENSRNOG00000006767,ENSMUSG00000068129
ENSG00000154080.14,ENSRNOG00000015867,ENSMUSG00000047161
ENSG00000134884.15,ENSRNOG00000024142,ENSMUSG00000040459
ENSG00000101474.12,ENSRNOG00000006795,ENSMUSG00000033096
ENSG00000152767.17,ENSRNOG00000011203,ENSMUSG00000025555
ENSG00000125864.14,ENSRNOG00000005707,ENSMUSG00000027420
ENSG00000134490.14,ENSRNOG00000023412,ENSMUSG00000049411
ENSG00000173638.19,ENSRNOG00000001232,ENSMUSG00000001436
ENSG00000100347.15,ENSRNOG00000011952,ENSMUSG00000022437
ENSG00000182871.16,ENSRNOG00000001229,ENSMUSG00000001435
ENSG00000125868.16,ENSRNOG00000026891,ENSMUSG00000015932
ENSG00000125834.13,ENSRNOG00000006002,ENSMUSG00000037885
ENSG00000215397.4,ENSRNOG00000005148,ENSMUSG00000060257
ENSG00000198646.14,ENSRNOG00000018288,ENSMUSG00000038369
ENSG00000075234.17,ENSRNOG00000015916,ENSMUSG00000035944
ENSG00000179813.7,ENSRNOG00000021943,ENSMUSG00000045655
ENSG00000134759.14,ENSRNOG00000015301,ENSMUSG00000024271
ENSG00000207500.1,ENSRNOG00000059804,ENSMUSG00000077185
ENSG00000207051.1,ENSRNOG00000058033,ENSMUSG00000077564
ENSG00000100372.15,ENSRNOG00000018920,ENSMUSG00000022404
ENSG00000201847.1,ENSRNOG00000056942,ENSMUSG00000065305
ENSG00000200072.1,ENSRNOG00000053941,ENSMUSG00000084667
ENSG00000136156.15,ENSRNOG00000016271,ENSMUSG00000022108
ENSG00000172296.13,ENSRNOG00000004443,ENSMUSG00000039092
ENSG00000100106.22,ENSRNOG00000059015,ENSMUSG00000033088
ENSG00000204977.10,ENSRNOG00000009075,ENSMUSG00000035235
ENSG00000183844.17,ENSRNOG00000001962,ENSMUSG00000022938
ENSG00000198553.9,ENSRNOG00000021831,ENSMUSG00000046168
ENSG00000215547.1,ENSRNOG00000036900,ENSMUSG00000074679
ENSG00000283785.1,ENSRNOG00000051849,ENSMUSG00000093007
ENSG00000136104.21,ENSRNOG00000009192,ENSMUSG00000021932
ENSG00000154734.16,ENSRNOG00000001607,ENSMUSG00000022893
ENSG00000100304.13,ENSRNOG00000022623,ENSMUSG00000016757
ENSG00000159055.4,ENSRNOG00000021555,ENSMUSG00000022978
ENSG00000150637.9,ENSRNOG00000038197,ENSMUSG00000034028
ENSG00000170262.13,ENSRNOG00000021524,ENSMUSG00000039956
ENSG00000160193.12,ENSRNOG00000001181,ENSMUSG00000024037
ENSG00000186654.21,ENSRNOG00000069507,ENSMUSG00000036106
ENSG00000101695.9,ENSRNOG00000057832,ENSMUSG00000033107
ENSG00000101384.12,ENSRNOG00000007443,ENSMUSG00000027276
ENSG00000197563.11,ENSRNOG00000014866,ENSMUSG00000056536
ENSG00000089057.15,ENSRNOG00000021262,ENSMUSG00000027340
ENSG00000154727.11,ENSRNOG00000053205,ENSMUSG00000008976
ENSG00000198355.5,ENSRNOG00000029698,ENSMUSG00000035828
ENSG00000159212.13,ENSRNOG00000026870,ENSMUSG00000022949
ENSG00000205593.12,ENSRNOG00000029866,ENSMUSG00000015377
ENSG00000185808.14,ENSRNOG00000039850,ENSMUSG00000022940
ENSG00000159197.4,ENSRNOG00000029811,ENSMUSG00000039672
ENSG00000100422.14,ENSRNOG00000017022,ENSMUSG00000035891
ENSG00000089123.16,ENSRNOG00000004493,ENSMUSG00000039033
ENSG00000180205.4,ENSRNOG00000031380,ENSMUSG00000074594
ENSG00000100239.16,ENSRNOG00000026425,ENSMUSG00000036561
ENSG00000149639.15,ENSRNOG00000053240,ENSMUSG00000055485
ENSG00000180305.5,ENSRNOG00000026067,ENSMUSG00000070529
ENSG00000159082.18,ENSRNOG00000002051,ENSMUSG00000022973
ENSG00000101445.10,ENSRNOG00000015614,ENSMUSG00000037754
ENSG00000101452.15,ENSRNOG00000015928,ENSMUSG00000027655
ENSG00000150510.17,ENSRNOG00000009802,ENSMUSG00000035184
ENSG00000189167.12,ENSRNOG00000051294,ENSMUSG00000056586
ENSG00000139597.18,ENSRNOG00000059322,ENSMUSG00000041132
ENSG00000185272.14,ENSRNOG00000029147,ENSMUSG00000032940
ENSG00000183530.14,ENSRNOG00000048891,ENSMUSG00000054280
ENSG00000155304.6,ENSRNOG00000060979,ENSMUSG00000032932
ENSG00000188636.4,ENSRNOG00000064516,ENSMUSG00000055745
ENSG00000183527.12,ENSRNOG00000001643,ENSMUSG00000022913
ENSG00000133477.17,ENSRNOG00000018330,ENSMUSG00000022408
ENSG00000100362.13,ENSRNOG00000006471,ENSMUSG00000005716
ENSG00000124191.18,ENSRNOG00000008146,ENSMUSG00000074607
ENSG00000133111.4,ENSRNOG00000064105,ENSMUSG00000036615
ENSG00000182858.14,ENSRNOG00000004591,ENSMUSG00000035845
ENSG00000133107.15,ENSRNOG00000011133,ENSMUSG00000027748
ENSG00000064655.19,ENSRNOG00000019203,ENSMUSG00000017897
ENSG00000100321.15,ENSRNOG00000017108,ENSMUSG00000022415
ENSG00000100095.19,ENSRNOG00000025612,ENSMUSG00000058153
ENSG00000180083.11,ENSRNOG00000065546,ENSMUSG00000078940
ENSG00000062598.18,ENSRNOG00000018747,ENSMUSG00000017670
ENSG00000122035.7,ENSRNOG00000000956,ENSMUSG00000029641
ENSG00000080618.17,ENSRNOG00000010935,ENSMUSG00000021999
ENSG00000075643.6,ENSRNOG00000015113,ENSMUSG00000039616
ENSG00000136167.15,ENSRNOG00000010319,ENSMUSG00000021998
ENSG00000166342.19,ENSRNOG00000014006,ENSMUSG00000050321
ENSG00000215475.5,ENSRNOG00000043061,ENSMUSG00000091722
ENSG00000133313.15,ENSRNOG00000015591,ENSMUSG00000024644
ENSG00000100360.15,ENSRNOG00000006440,ENSMUSG00000016637
ENSG00000102452.18,ENSRNOG00000004752,ENSMUSG00000000197
ENSG00000100311.17,ENSRNOG00000017197,ENSMUSG00000000489
ENSG00000186732.14,ENSRNOG00000010834,ENSMUSG00000041708
ENSG00000042062.13,ENSRNOG00000010791,ENSMUSG00000074577
ENSG00000158480.11,ENSRNOG00000009207,ENSMUSG00000047030
ENSG00000138964.17,ENSRNOG00000052064,ENSMUSG00000022439
ENSG00000101447.15,ENSRNOG00000015794,ENSMUSG00000027654
ENSG00000171587.15,ENSRNOG00000027992,ENSMUSG00000050272
ENSG00000197496.6,ENSRNOG00000025384,ENSMUSG00000027661
ENSG00000150656.15,ENSRNOG00000027739,ENSMUSG00000056162
ENSG00000158445.10,ENSRNOG00000046949,ENSMUSG00000050556
ENSG00000124249.7,ENSRNOG00000010816,ENSMUSG00000035238
ENSG00000149654.11,ENSRNOG00000018557,ENSMUSG00000053166
ENSG00000175820.4,ENSRNOG00000063478,ENSMUSG00000091844
ENSG00000151287.17,ENSRNOG00000011658,ENSMUSG00000026049
ENSG00000124226.11,ENSRNOG00000060821,ENSMUSG00000006418
ENSG00000182240.16,ENSRNOG00000001953,ENSMUSG00000040605
ENSG00000128791.12,ENSRNOG00000013340,ENSMUSG00000024098
ENSG00000100290.3,ENSRNOG00000010359,ENSMUSG00000016758
ENSG00000134897.14,ENSRNOG00000022894,ENSMUSG00000041684
ENSG00000206052.11,ENSRNOG00000038190,ENSMUSG00000073514
ENSG00000100271.17,ENSRNOG00000010141,ENSMUSG00000022442
ENSG00000080189.15,ENSRNOG00000018649,ENSMUSG00000017664
ENSG00000150477.15,ENSRNOG00000029466,ENSMUSG00000033632
ENSG00000183087.15,ENSRNOG00000018233,ENSMUSG00000031451
ENSG00000183421.12,ENSRNOG00000001618,ENSMUSG00000005251
ENSG00000160179.19,ENSRNOG00000001158,ENSMUSG00000024030
ENSG00000130943.7,ENSRNOG00000029591,ENSMUSG00000052496
ENSG00000100124.15,ENSRNOG00000010821,ENSMUSG00000033055
ENSG00000251897.1,ENSRNOG00000069379,ENSMUSG00000119035
ENSG00000136159.4,ENSRNOG00000025239,ENSMUSG00000033405
ENSG00000136146.15,ENSRNOG00000017170,ENSMUSG00000022109
ENSG00000251719.1,ENSRNOG00000058028,ENSMUSG00002076026
ENSG00000207797.1,ENSRNOG00000035521,ENSMUSG00000065532
ENSG00000183943.6,ENSRNOG00000060168,ENSMUSG00000035725
ENSG00000139687.16,ENSRNOG00000016029,ENSMUSG00000022105
ENSG00000124151.19,ENSRNOG00000005616,ENSMUSG00000027678
ENSG00000100300.18,ENSRNOG00000010549,ENSMUSG00000041736
ENSG00000102683.8,ENSRNOG00000014603,ENSMUSG00000035296
ENSG00000078043.16,ENSRNOG00000017493,ENSMUSG00000025423
ENSG00000139746.16,ENSRNOG00000009836,ENSMUSG00000022119
ENSG00000160181.9,ENSRNOG00000001162,ENSMUSG00000024028
ENSG00000160182.3,ENSRNOG00000001164,ENSMUSG00000024032
ENSG00000172404.5,ENSRNOG00000019187,ENSMUSG00000047108
ENSG00000160183.17,ENSRNOG00000001165,ENSMUSG00000024034
ENSG00000125363.14,ENSRNOG00000003965,ENSMUSG00000031354
ENSG00000100105.18,ENSRNOG00000018709,ENSMUSG00000020453
ENSG00000125266.8,ENSRNOG00000064362,ENSMUSG00000001300
ENSG00000167220.12,ENSRNOG00000043171,ENSMUSG00000025421
ENSG00000196433.13,ENSRNOG00000001324,ENSMUSG00000093806
ENSG00000102780.17,ENSRNOG00000010065,ENSMUSG00000034731
ENSG00000138944.8,ENSRNOG00000052725,ENSMUSG00000062760
ENSG00000196236.13,ENSRNOG00000019196,ENSMUSG00000022401
ENSG00000201825.1,ENSRNOG00000061131,ENSMUSG00000089452
ENSG00000215474.8,ENSRNOG00000018006,ENSMUSG00000091519
ENSG00000124089.4,ENSRNOG00000004451,ENSMUSG00000038537
ENSG00000101425.14,ENSRNOG00000034195,ENSMUSG00000052922
ENSG00000177426.22,ENSRNOG00000015906,ENSMUSG00000047407
ENSG00000183579.16,ENSRNOG00000067305,ENSMUSG00000041961
ENSG00000160185.15,ENSRNOG00000001167,ENSMUSG00000042345
ENSG00000146950.13,ENSRNOG00000024322,ENSMUSG00000045180
ENSG00000100266.19,ENSRNOG00000009756,ENSMUSG00000016664
ENSG00000124126.14,ENSRNOG00000006952,ENSMUSG00000039621
ENSG00000141384.13,ENSRNOG00000026023,ENSMUSG00000054321
ENSG00000136143.16,ENSRNOG00000017481,ENSMUSG00000022110
ENSG00000160188.10,ENSRNOG00000057862,ENSMUSG00000024033
ENSG00000141682.12,ENSRNOG00000018770,ENSMUSG00000024521
ENSG00000139910.20,ENSRNOG00000031440,ENSMUSG00000021047
ENSG00000004961.15,ENSRNOG00000025910,ENSMUSG00000031352
ENSG00000160190.14,ENSRNOG00000001169,ENSMUSG00000024036
ENSG00000124212.6,ENSRNOG00000008245,ENSMUSG00000017969
ENSG00000209480.1,ENSRNOG00000058269,ENSMUSG00000077734
ENSG00000134757.5,ENSRNOG00000016632,ENSMUSG00000056632
ENSG00000169508.7,ENSRNOG00000025094,ENSMUSG00000051212
ENSG00000211829.9,ENSRNOG00000065679,ENSMUSG00000104876
ENSG00000054803.4,ENSRNOG00000004372,ENSMUSG00000067578
ENSG00000139826.6,ENSRNOG00000014598,ENSMUSG00000040396
ENSG00000160191.18,ENSRNOG00000001174,ENSMUSG00000041119
ENSG00000054793.14,ENSRNOG00000049484,ENSMUSG00000027546
ENSG00000118271.12,ENSRNOG00000016275,ENSMUSG00000061808
ENSG00000151413.17,ENSRNOG00000027444,ENSMUSG00000035142
ENSG00000170558.10,ENSRNOG00000015602,ENSMUSG00000024304
ENSG00000102468.11,ENSRNOG00000010063,ENSMUSG00000034997
ENSG00000125970.12,ENSRNOG00000017405,ENSMUSG00000027593
ENSG00000083544.16,ENSRNOG00000009034,ENSMUSG00000022019
ENSG00000129515.20,ENSRNOG00000005249,ENSMUSG00000005656
ENSG00000128245.15,ENSRNOG00000055471,ENSMUSG00000018965
ENSG00000133104.14,ENSRNOG00000014155,ENSMUSG00000036580
